start	end	text
0	13200	hello everyone and welcome in chat how is it going warriors one in chat can you
16080	17440	oh look how many people
19600	20720	we're good we're good
25360	29360	two lost one win today says andrea we try to recover
30000	35440	uh there is also luca now guys i'm
37520	43600	i'm creating the avengers team okay all the best traders i know will be inside here
45440	55360	one of those is luca and uh they will participate in the battlefield chat so the lives are super
55360	62640	weak but you have the possibility to talk with other members and all the traders that are
62640	68480	profitable consistently profitable will be part of the group the group will be open tomorrow
68480	73600	and it will be you will see in the dashboard for everyone it will call battlefield right
73600	79280	now you have only battleground preparation during the weekend i was thinking it could be nice let me
79280	85360	share screen it could be nice to invite a nutritionist because some of you told me that
85360	92560	you want to know also for the supplements how to reduce the stress and how to deal with it because i
93840	98880	i cannot stress enough how much it's stressful this profession
98880	106000	grande luca anas made one to ten there is to reward you took the short from the top right anas
106000	112560	i was driving i couldn't take it i was driving back from the podcast business base is overcrowded
112560	119920	couldn't get the short but it was an amazing setup session we saw
119920	129760	a garbage market consolidation not moving and stuff anyway majority of you made money anyone that made
129760	137440	money in the last session text one in chat even with this garbage condition now look at this the
137440	144880	previous session without order flow if i only guess based on price action i will not be able to survive
144880	149440	okay because i will be not fast enough to put my stop loss to break even and we took
149440	156800	multiple break even made the most in my life trading in the last session nice arzalan
159520	166400	nice amazing amazing guys now can you see the screen can you see it properly
171760	178320	okay okay now what we're going to do today we are going to cover the mental models
179440	184400	that you need to use we are going to do live charting
187120	194960	and we are going to the execution method trick let me see the chat yesterday to micro from pop yesterday
194960	203440	oh nice one perfect rejection at the poc from 16 but i was delayed because of the profile amazing
203440	211600	amazing trade amazing trade so one other took the short youtube florin you took the same short that i
211600	218400	was taking before unfortunately i was not with my setup so i couldn't manage because i had the live
218400	225840	and it's not easy to trade and at the same time explain but amazing setup amazing setup now
225840	235760	i want to start with this it will cover not much not much time and we will treat this while we do live
235760	244240	charting i want to ask you something guys how many of you lost money not because of the model but for
244240	252000	inefficient uh mental resilience when you go and draw down because i want to tell you my story now you
252000	259920	see the now you see world champion for world cup 2000 execution 500 amazing you see me like trading and
259920	270000	doing 10 20 30 40 50 000 per day but before before it was not like this it was really different than this
270000	281200	and trading can get to your mind can get to your brain and when you manage personal capital that goes
282080	288800	above a threshold that it's a lot for you so for example it could be for you guys 100 000 for me it's
288800	295920	millions and when you go and draw down and you break the profit streak so for example let's say that
295920	301920	today we close a bad day okay we close three stop loss okay four stop loss it can happen it will happen
301920	308880	like okay when you have something like this the only thing that can save you from doing damage
308880	315760	it's your mental model it's nice that you share hardship as well no sugar coating or i don't care
315760	323680	about sugar coating the pill to make you think that it's easy no i promise you that i will be 100
323680	330080	transparent and i will be completely honest with you and i had upside and then i had downside during
330080	339120	my career okay it's part of the game and the moment that you need the mental model usually is
339120	343920	the moment where if you don't have it already set up with rules you will up your
343920	350160	whole account okay how many of you did big drawdown and damage not because of the strategy type one in
350160	356160	chat but because of the mental models going in three stop loss look at the chat look at the chat
356160	361920	okay what i'm telling you is human nature here there is no shame no one needs to be covered behind the
361920	367840	camera we are all the same and we do this for a living okay we trade now if you never did this
367840	373760	congratulations you are in the top one percent that are able to keep their mind under control when
373760	381200	they are floating numbers i was not like this i had to become like this okay so what i want to share with
381200	392720	you today to start is the first mental model that is process oriented so i want you to try to shift your
392720	407600	satisfaction from end of day result to end of day process what does it mean i have a model okay the
407600	415280	model is saying that i only enter in profile framing uh in in trend condition and i execute with big
415280	424800	trades perfect as soon as my process it's on point i'm not over trading i'm not doing stupid stuff i'm
424800	433680	not risking triple the amount i should if i close the day with negative x percent is still okay is it
433680	440240	clear don't worry you see how much we are fast after three minutes was available the recording the last
440240	446240	session you have you have always there okay this part here it's counterintuitive intuitive because we
446240	455920	as humans sit and i know that you all at this moment okay try to try to think about this the
455920	462320	session is going good i tell you one session that i had one month and alphago that was at the same time
462320	471440	funny and depressing so it was a long a super long bullish day on november and i started to load my
471440	478080	position okay i started to load my position and i took amazing one two three one two four one to five
478080	487680	with multiple trades so i build the profit for the day till 41 42 000 okay that for a single day even if
487680	492800	you are wealthy it's it's a large sum of money it's a personal account it's not proper so the moment you
492800	498880	withdraw it's in your bank account and you can spend it okay so so it's it's a lot of money what i did at
498880	507600	what i'm not shy to tell you is the following i built for the session here and the session exploded okay
507600	515600	you know what your brain is telling you you have 40 000 of profit here you respected the process and now
515600	522800	you have an amazing result so what i did in this case is assuming in my mind that considering that
522800	528000	was a bullish session we will arrive here we will continue so i start to mark on the charts level that
528000	535040	are higher why because i put in my mind the target of closing six figures in one day 100 000 okay you
535040	543440	know what happened that i loaded a gain position here okay risking part of the profit of this one the
543440	551120	market did like this i added and this nap back taking me in a streak of four stop loss before going
551120	562640	here and out of the 41 000 in profit only lost 15 000 in profit but if i was patient i would wait for my
562640	572400	setup instead instead of chasing the market i would have close probably 75 80 okay this part here it's the
572400	579680	mental model that you need to have because i'm telling you because already i saw other time uh two
579680	587680	only two people out of more than 400 people no 350 people only two people in the chat told me the last
587680	595360	time fabio uh i think you need to get exactly the level where you enter the target and the stop loss so
595360	602240	they took this as a signal service these people are not interested in learning they want to make
602240	608640	quick money following your process and they don't have the mindset to stay in this group okay they
608640	614960	don't have the mindset because if you are here only not to learn and not to be independent but you are
614960	621200	here to take some signals here and there yes you will pay out for the money that you you paid for the
621200	627600	service but you will not go anywhere the moment i start to i decide to stop the session you don't
627600	633200	make money anymore because you didn't understand the process okay so we everyone needs to agree that
633200	640720	we are here because i want to make you profitable on your own not with me always close to you enter here
640720	647760	close here enter here close here break even okay look at oran yesterday i was up then lost everything
647760	653360	because i was impatient only to see the market move exactly the right way once once the proper you see
653920	659760	yesterday unfortunately we didn't have a live because if we had a live and we see that the
659760	668400	market is not performing we stop okay you remember in the live session that we did with word of wisdom no
668400	677360	we took a crazy sniper 25 000 okay then the market was choppy same stuff okay these are conditions
677360	683760	that i don't trade usually but we are with trades we want to take and explain i will try even if i
683760	689520	will stop for the day back to 15 000. fabio but it's still an amazing day still probably of course
689520	695360	it's still profitable because we have an edge but we gave back 10 000 to the market it's not smart
698080	698400	okay
698400	709680	not smart at all i cannot see your image i know now out of this you need only three rules please
709680	717040	follow these three rules and i promise you at least you will survive if you are dumb you don't know how
717040	722560	to analyze you don't know how to take what i teach and bring this into an edge at least you will not make
722560	726480	damage to your account okay so first point
728720	733120	not end of the result end of the process second point
735680	738960	you pay emotional triggers
740800	750480	in dollars without discount okay the moment you are not suitable to go in market you had an argument
750480	754800	with your family you had an argument with your girlfriend you had an argument with your father
754800	761360	you stay out of the market there is no way around it okay the only time i lost more money than
761360	768080	expected in my life is the moment i had someone in my family that was not with us anymore okay i
768080	775040	traded i was angry i didn't care about what i was doing i lost triple the amount that is the maximum
775040	786240	drawdown not for the day but for the week why your mindset is the reason you click buttons the moment
